valid_dimension_units,"Gültige Dimensions-einheiten"
dimension_unit_field,"Feld mit Dimensionseinheit"
dimensionUnitField,"Feld mit Dimensionseinheit"
dimensionUnitFieldText,"Text mit Dimensionseinheit"
dimensionUnitField_settings,"Einstellungen (Feld mit Dimensionseinheit)"
dimensionUnitFieldText_settings,"Einstellungen (Text mit Dimensionseinheit)"
dimensionunits,"Dimensionseinheiten"
abbreviation,"Abkürzung"
longname,"Name"
group,"Gruppe"
baseunit,"Basiseinheit"
factor,"Faktor"
valid_dimension_units_empty_text,"Bitte gültige Dimensionseinheiten auswählen"
"columnLength","Textlänge"
