valid_dimension_units,"Valid dimension units"
dimension_unit_field,"Dimension Unit Field"
dimensionUnitField,"Dimension Unit Field"
dimensionUnitFieldText,"Dimension Unit Text"
dimensionUnitField_settings,"Settings (Dimension Unit Field)"
dimensionUnitFieldText_settings,"Settings (Dimension Unit Text)"
dimensionunits,"Dimension Units"
abbreviation,"Abbreviation"
longname,"Longname"
group,"Group"
baseunit,"Base Unit"
factor,"Factor"
valid_dimension_units_empty_text,"Please select valid dimension units"
"columnLength","Column length"
